ID,SMILES
rad_0001,[CH2]C(C)C(C)C
rad_0002,C[C](C)C(C)C
rad_0003,C[CH]C
rad_0004,[CH2]CC
rad_0005,CC[CH]C(C)C
rad_0006,CCC[C](C)C
rad_0007,[CH2]C(C)CCC
rad_0008,C[CH]CC(C)C
rad_0009,[CH2]CCC(C)C
rad_0010,[CH2]C1(C)CCC1
rad_0011,CC1(C)[CH]CC1
rad_0012,CC1(C)C[CH]C1
rad_0013,[CH2]C(CC)CC
rad_0014,CC[C](C)CC
rad_0015,C[CH]C(C)CC
rad_0016,[CH2]CC(C)CC
rad_0017,C[C]1CC1
rad_0018,CC1[CH]C1
rad_0019,[CH2]C1CC1
rad_0020,[CH2]CCC
rad_0021,C[CH]CC
rad_0022,[CH2]C(C)CC
rad_0023,CC[C](C)C
rad_0024,C[CH]C(C)C
rad_0025,[CH2]CC(C)C
rad_0026,CC[C](CC)CC
rad_0027,C[CH]C(CC)CC
rad_0028,[CH2]CC(CC)CC
rad_0029,CC1[CH]CC1C
rad_0030,C[C]1CCC1C
rad_0031,[CH2]C1CCC1C
rad_0032,C[C](C)C
rad_0033,[CH2]C(C)C
rad_0034,[CH2]C(C)(C)CC
rad_0035,C[CH]C(C)(C)C
rad_0036,[CH2]CC(C)(C)C
rad_0037,[CH2]C(C)CCCC
rad_0038,CCCC[C](C)C
rad_0039,CCC[CH]C(C)C
rad_0040,CC[CH]CC(C)C
rad_0041,C[CH]CCC(C)C
rad_0042,[CH2]CCCC(C)C
rad_0043,CC[C]1CCC1
rad_0044,CCC1[CH]CC1
rad_0045,C[CH]C1CCC1
rad_0046,[CH2]CC1CCC1
rad_0047,CCC1C[CH]C1
rad_0048,C[CH]C(C)(C)CC
rad_0049,[CH2]CC(C)(C)CC
rad_0050,[CH2]C(C)(CC)CC
rad_0051,CC[CH]C(C)(C)C
rad_0052,C[CH]CC(C)(C)C
rad_0053,[CH2]C(C)(C)CCC
rad_0054,[CH2]CCC(C)(C)C
rad_0055,[CH2]C(C)C1CC1C
rad_0056,C[C](C)C1CC1C
rad_0057,CC(C)[C]1CC1C
rad_0058,C[C]1CC1C(C)C
rad_0059,CC(C)C1[CH]C1C
rad_0060,[CH2]C1CC1C(C)C
rad_0061,CC[CH]CCCC
rad_0062,C[CH]CCCCC
rad_0063,[CH2]CCCCCC
rad_0064,CCC[CH]CCC
rad_0065,C[C]1CCC1
rad_0066,[CH2]C1CCC1
rad_0067,CC1[CH]CC1
rad_0068,CC1C[CH]C1
rad_0069,CC[C](C)C(C)C
rad_0070,CCC(C)[C](C)C
rad_0071,[CH2]C(C)C(C)CC
rad_0072,[CH2]C(CC)C(C)C
rad_0073,C[CH]C(C)C(C)C
rad_0074,[CH2]CC(C)C(C)C
rad_0075,CC[CH]CC
rad_0076,C[CH]CCC
rad_0077,[CH2]CCCC
rad_0078,C[C]1CC1C
rad_0079,CC1[CH]C1C
rad_0080,[CH2]C1CC1C
rad_0081,C[CH]CCCC
rad_0082,CC[CH]CCC
rad_0083,[CH2]CCCCC
rad_0084,CC(C)[CH]C(C)C
rad_0085,C[C](C)CC(C)C
rad_0086,[CH2]C(C)CC(C)C
rad_0087,[CH2]C1(C)CC1
rad_0088,CC1(C)[CH]C1
rad_0089,CC1(C)[CH]CCC1
