ID,SMILES,A(iso)
rad_0001,[CH2]C(C)C(C)C,[-62.9629 119.169 -1.7792 -2.2805 0.6084 0.2296]
rad_0002,C[C](C)C(C)C,[57.6721 0 58.1182 29.0052 1.4879 -1.2984]
rad_0003,C[CH]C,[63.7916 -62.3126 63.7617]
rad_0004,[CH2]CC,[-63.1561 91.9783 -1.3733]
rad_0005,CC[CH]C(C)C,[-1.2564 76.4971 -59.5216 33.0043 2.5599 -0.5681]
rad_0006,CCC[C](C)C,[0.7714 -4.0533 26.2641 0 58.1682 57.969]
rad_0007,[CH2]C(C)CCC,[-63.9948 79.8868 -1.5087 -2.3025 -0.5225 0.8073]
rad_0008,C[CH]CC(C)C,[64.2837 -60.0425 76.8241 -1.7226 0.7886 0.1007]
rad_0009,[CH2]CCC(C)C,[-63.1949 89.8688 -1.7249 0.7605 0.0785 0.2422]
rad_0010,[CH2]C1(C)CCC1,[-62.7811 0 -1.887 3.2626 0.1312 0.6326]
rad_0011,CC1(C)[CH]CC1,[1.9182 0 1.3247 -64.4632 100.0143 -3.2946]
rad_0012,CC1(C)C[CH]C1,[0.1032 0 0.1172 99.1327 -65.1787 99.1411]
rad_0013,[CH2]C(CC)CC,[-64.3546 5.5218 1.5517 0.3539 -0.003 0.6577]
rad_0014,CC[C](C)CC,[0.0799 26.1596 0 58.1687 58.0769 -1.672]
rad_0015,C[CH]C(C)CC,[64.6446 -60.2469 112.4961 -1.5357 -2.0638 0.975]
rad_0016,[CH2]CC(C)CC,[-62.9955 77.6473 -2.094 0.4973 0.0657 0.3873]
rad_0017,C[C]1CC1,[50.695 0 54.8183 55.0086]
rad_0018,CC1[CH]C1,[-1.8659 42.8333 -14.2892 61.1609]
rad_0019,[CH2]C1CC1,[-61.8312 2.2775 -0.1095 -0.0379]
rad_0020,[CH2]CCC,[-63.2661 85.5441 -2.2264 0.7724]
rad_0021,C[CH]CC,[64.2443 -60.7552 28.0617 0.7046]
rad_0022,[CH2]C(C)CC,[-62.779 51.3162 -0.7964 -2.4571 0.4831]
rad_0023,CC[C](C)C,[-1.6717 68.816 0 57.3038 57.8007]
rad_0024,C[CH]C(C)C,[64.5412 -60.159 29.3539 -0.436 2.8258]
rad_0025,[CH2]CC(C)C,[-63.8474 33.0104 -1.2741 0.2422 0.245]
rad_0026,CC[C](CC)CC,[0.5787 35.312 0 35.7659 0.5162 34.8785 0.6057]
rad_0027,C[CH]C(CC)CC,[64.8513 -60.3643 27.1492 -2.8701 0.7261 -1.7907 1.2295]
rad_0028,[CH2]CC(CC)CC,[-62.7501 80.8442 -1.8846 0.9721 0.9966 0.8501 0.6886]
rad_0029,CC1[CH]CC1C,[-1.1845 99.2963 -63.3161 97.9392 -3.4609 0.2216]
rad_0030,C[C]1CCC1C,[60.9325 0 89.8698 -3.2976 91.297 -1.6121]
rad_0031,[CH2]C1CCC1C,[-62.5684 5.1052 -2.5948 -0.4518 -5.0606 1.6745]
rad_0032,C[C](C)C,[57.8813 0 56.9308 57.5513]
rad_0033,[CH2]C(C)C,[-62.5519 46.1099 -0.6388 4.134]
rad_0034,[CH2]C(C)(C)CC,[-62.267 0 6.7947 -1.039 -0.8977 0.7023]
rad_0035,C[CH]C(C)(C)C,[65.2641 -65.8898 0 3.6139 1.1381 -1.2022]
rad_0036,[CH2]CC(C)(C)C,[-63.9671 32.8554 0 0.228 0.2253 1.2365]
rad_0037,[CH2]C(C)CCCC,[-62.1589 48.0842 -0.7485 -2.4533 1.8933 1.1063 -0.0252]
rad_0038,CCCC[C](C)C,[0.2182 0.6786 -1.7942 63.0199 0 57.0015 58.2907]
rad_0039,CCC[CH]C(C)C,[0.5309 -1.4786 90.3388 -60.9936 33.5132 -1.0572 3.3121]
rad_0040,CC[CH]CC(C)C,[0.9115 27.6264 -59.3465 75.9316 -1.8605 0.7743 0.1158]
rad_0041,C[CH]CCC(C)C,[63.7197 -60.7848 80.1881 -1.7439 0.8514 0.0633 0.2085]
rad_0042,[CH2]CCCC(C)C,[-63.2232 85.6539 -1.8689 0.601 0.004 -0.0113 0.0184]
rad_0043,CC[C]1CCC1,[-1.4023 73.8735 0 90.5352 -3.6256 89.8902]
rad_0044,CCC1[CH]CC1,[0.4797 -0.5643 93.6787 -63.3483 99.0404 -3.6827]
rad_0045,C[CH]C1CCC1,[64.4518 -59.209 18.3785 -2.9138 -0.0275 -2.163]
rad_0046,[CH2]CC1CCC1,[-61.8563 30.2309 -3.9894 0.7947 0.8861 -0.4555]
rad_0047,CCC1C[CH]C1,[0.0908 0.2981 -3.6117 98.0468 -64.3713 98.3588]
rad_0048,C[CH]C(C)(C)CC,[65.9314 -60.193 0 5.311 -1.1921 -1.4833 0.7851]
rad_0049,[CH2]CC(C)(C)CC,[-64.0231 33.2405 0 0.263 0.2448 2.6619 0.4628]
rad_0050,[CH2]C(C)(CC)CC,[-64.3082 0 -1.5515 0.7108 0.5527 2.4909 0.3417]
rad_0051,CC[CH]C(C)(C)C,[-0.5948 72.2134 -63.8186 0 -1.4419 2.8971 2.2815]
rad_0053,[CH2]C(C)(C)CCC,[-63.9122 0 2.562 -1.2157 3.3083 0.794 1.0899]
rad_0054,[CH2]CCC(C)(C)C,[-63.3637 86.0961 -1.8057 0 0.0557 0.0898 0.8524]
rad_0055,[CH2]C(C)C1CC1C,[-62.7013 6.993 4.8838 0.8846 0.6499 0.4601 0.1115]
rad_0056,C[C](C)C1CC1C,[57.5079 0 54.1633 2.6 -0.8598 -4.5951 3.1366]
rad_0057,CC(C)[C]1CC1C,[1.6323 27.9337 -1.076 0 60.8067 42.5986 -1.5799]
rad_0058,C[C]1CC1C(C)C,[51.3294 0 58.6073 43.2034 1.1626 0.2122 0.7324]
rad_0059,CC(C)C1[CH]C1C,[1.5601 -1.3963 0.2333 73.5245 -17.7619 41.7784 -1.9678]
rad_0060,[CH2]C1CC1C(C)C,[-61.6214 2.2604 -0.6011 -6.0132 0.3413 -0.1037 0.5876]
rad_0061,CC[CH]CCCC,[-1.6099 75.2259 -60.6408 29.8579 -3.9346 1.9428 0.6327]
rad_0062,C[CH]CCCCC,[64.4877 -61.1491 28.2281 -3.8586 -0.4814 1.0512 -0.0376]
rad_0063,[CH2]CCCCCC,[-63.1552 85.817 -2.2393 1.4916 0.9163 -0.0491 0.0056]
rad_0064,CCC[CH]CCC,[0.5359 -2.7161 51.3352 -62.8117 80.6146 -2.1349 0.9516]
rad_0065,C[C]1CCC1,[60.8174 0 91.2234 -3.6828 90.6707]
rad_0066,[CH2]C1CCC1,[-62.5969 5.7906 -2.5321 -0.4474 -3.25]
rad_0067,CC1[CH]CC1,[-0.932 95.6674 -64.0758 99.2796 -3.6267]
rad_0068,CC1C[CH]C1,[0.1688 -3.8249 98.9408 -65.2032 98.9499]
rad_0071,[CH2]C(C)C(C)CC,[-63.5687 116.8552 -1.7833 -2.3152 0.6721 1.5444 1.012]
rad_0072,[CH2]C(CC)C(C)C,[-64.3469 9.15 0.8631 1.0442 -3.3342 1.5807 0.8723]
rad_0074,[CH2]CC(C)C(C)C,[-63.3544 66.9207 -2.6959 0.4042 0.9251 0.1324 0.7629]
rad_0075,CC[CH]CC,[0.223 30.6067 -61.1092 72.002 -1.6408]
rad_0076,C[CH]CCC,[64.303 -61.1204 28.817 -3.9383 0.6662]
rad_0077,[CH2]CCCC,[-63.1942 88.1924 -1.7856 0.7491 0.2392]
rad_0078,C[C]1CC1C,[52.473 0 55.9661 68.6254 1.7891]
rad_0079,CC1[CH]C1C,[-1.9901 47.8723 -14.3985 48.1183 -2.0039]
rad_0080,[CH2]C1CC1C,[-61.3851 4.0648 0.1459 2.411 0.8631]
rad_0081,C[CH]CCCC,[63.4543 -61.9613 83.731 -1.6147 0.9431 0.1394]
rad_0082,CC[CH]CCC,[-1.3103 76.7228 -60.0622 83.5289 -1.6161 0.4734]
rad_0083,[CH2]CCCCC,[-63.3667 88.7897 -1.7826 0.2412 0.027 0.0338]
rad_0084,CC(C)[CH]C(C)C,[-1.2758 108.084 -1.4621 -59.4266 45.84 -1.039 1.8392]
rad_0085,C[C](C)CC(C)C,[60.6705 0 57.6024 35.9768 -3.4492 0.3594 0.3602]
rad_0086,[CH2]C(C)CC(C)C,[-63.1855 54.4925 3.8564 -1.2805 0.4216 0.0462 0.1976]
rad_0087,[CH2]C1(C)CC1,[-61.7214 0 -2.3811 0.8403 0.7907]
rad_0088,CC1(C)[CH]C1,[5.0292 0 -0.896 -12.9864 59.3037]
rad_0089,CC1(C)[CH]CCC1,[4.5468 0 1.9587 -64.7504 95.3944 -1.3309 -0.3408]
rad_0090,CC1(C)C[CH]CC1,[0.3261 0 -0.0454 92.0789 -65.2717 93.8962 -1.4803]
rad_0091,[CH2]C1(C)CCCC1,[-62.2542 0 6.3328 -0.4433 1.2063 1.6236 -0.2494]
